,Person,Platform,Movie,RR,EDA
0,2.0,1.0,1.0,1.0697907,3.4243
0,2.0,1.0,1.0,1.0725694,3.4213
0,2.0,1.0,1.0,1.105261,3.4213
0,2.0,1.0,1.0,1.1098273,3.4198
0,2.0,1.0,1.0,1.1071091,3.4138
0,2.0,1.0,1.0,1.1735621,3.4138
0,2.0,1.0,1.0,1.1104392,3.4123
0,2.0,1.0,1.0,1.1503214,3.4078
0,2.0,1.0,1.0,1.1488045,3.4063
0,2.0,1.0,1.0,1.140625,3.4033
0,2.0,1.0,1.0,1.125107,3.4018
0,2.0,1.0,1.0,1.098238,3.3988
0,2.0,1.0,1.0,1.0853075,3.3973
0,2.0,1.0,1.0,1.0539864,3.3943
0,2.0,1.0,1.0,0.96216518,3.3913
0,2.0,1.0,1.0,1.0494257,3.3898
0,2.0,1.0,1.0,1.0749574,3.3883
0,2.0,1.0,1.0,1.0895028,3.3853
0,2.0,1.0,1.0,1.1633485,3.3838
0,2.0,1.0,1.0,1.1127604,3.3808
0,2.0,1.0,1.0,1.101409,3.3793
0,2.0,1.0,1.0,1.0637699,3.3763
0,2.0,1.0,1.0,1.0703125,3.3733
0,2.0,1.0,1.0,1.0923195,3.3718
0,2.0,1.0,1.0,1.0976848,3.3718
0,2.0,1.0,1.0,1.1442921,3.3688
0,2.0,1.0,1.0,1.1376616,3.3658
0,2.0,1.0,1.0,1.1673417,3.3643
0,2.0,1.0,1.0,1.1405858,3.3643
0,2.0,1.0,1.0,1.1631765,3.3613
0,2.0,1.0,1.0,1.1527083,3.3583
0,2.0,1.0,1.0,1.1181507,3.3568
0,2.0,1.0,1.0,1.1111607,3.3568
0,2.0,1.0,1.0,1.1117295,3.3538
0,2.0,1.0,1.0,1.0306162,3.3523
0,2.0,1.0,1.0,0.9988039,3.3523
0,2.0,1.0,1.0,0.95531315,3.3508
0,2.0,1.0,1.0,1.043671,3.3478
0,2.0,1.0,1.0,1.0457964,3.3463
0,2.0,1.0,1.0,1.0497092,3.3463
0,2.0,1.0,1.0,1.147974,3.3448
0,2.0,1.0,1.0,1.0733978,3.3418
0,2.0,1.0,1.0,1.1825921,3.3403
0,2.0,1.0,1.0,1.1295023,3.3388
0,2.0,1.0,1.0,1.127113,3.3373
0,2.0,1.0,1.0,1.130102,3.3373
0,2.0,1.0,1.0,1.1231294,3.3343
0,2.0,1.0,1.0,1.1312181,3.3328
0,2.0,1.0,1.0,1.0641701,3.3313
0,2.0,1.0,1.0,0.97370003,3.3313
0,2.0,1.0,1.0,1.1167111,3.3283
0,2.0,1.0,1.0,1.0679306,3.3268
0,2.0,1.0,1.0,1.1693138,3.3253
0,2.0,1.0,1.0,1.2245059,3.3238
0,2.0,1.0,1.0,1.2496796,3.3208
0,2.0,1.0,1.0,1.2517954,3.3193
0,2.0,1.0,1.0,1.2471747,3.3163
0,2.0,1.0,1.0,1.2691873,3.3148
0,2.0,1.0,1.0,1.1847236,3.3148
0,2.0,1.0,1.0,1.1529356,3.3118
0,2.0,1.0,1.0,1.1107037,3.3073
